ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile,organization,project_name,AHH,CALLS_NOM,CYCLO_LOC,FANOUT_CALLS,LOC_NOM,NOC_NOP,NOM_NOC
32,2019-01-01T10:38:10+0100,2019-04-20T06:49:21+0200,108,jinahya/bit-io,72.5,1185.0,1355,1355,126.5,252,126.0,252,8289.0,16359.0,2,95,20,2.96875,0.185185185185185,0.185185185185185,2,1,4.0,1,jinahya,bit-io,0.17,2.0149999999999997,0.26,0.66,6.055,24.0,4.2
80,2018-10-31T15:15:41+0100,2019-04-16T11:58:06+0200,166,CJSCommonPlatform/framework-domain,87.1,236.0,236,236,138.0,312,137.5,312,5637.5,1193344.0,4,88,15,1.1,0.0903614457831325,0.0662650602409639,3,1,3.0,1,CJSCommonPlatform,framework-domain,0.0,10.46,0.09,0.08,10.26,1.0,3.75
48,2019-01-28T11:56:46+0100,2019-03-26T10:37:06+0100,56,hmcts/ccd-definition-designer-api,92.6,1269.0,1269,1269,370.0,735,367.0,735,728.0,428562.0,25,115,18,2.3958333333333304,0.32142857142857106,0.214285714285714,4,3,1.0,2,hmcts,ccd-definition-designer-api,0.01,2.05,0.21,0.3,4.34,3.94,4.23
80,2019-01-22T09:28:37+0100,2019-03-24T22:02:53+0100,61,DaJaime/optidb-server,12.85,589.0,781,781,137.0,296,136.0,296,365.0,405.0,2,121,31,1.5125,0.508196721311475,0.475409836065574,1,1,1.0,3,DaJaime,optidb-server,0.0,1.475,0.22,0.65,5.055,2.6,7.275
48,2019-03-05T17:32:55+0100,2019-03-12T18:15:34+0100,7,GOBDS/mapfood,64.65,1275.5,1762,1762,140.0,229,140.0,229,43350.5,63493.0,29,74,6,1.5416666666666698,0.857142857142857,0.857142857142857,2,1,4.0,4,GOBDS,mapfood,0.0,0.22499999999999998,0.29,0.5700000000000001,3.415,3.42,5.395
88,2018-12-13T22:29:58+0100,2019-03-11T20:48:04+0100,87,ioet/bpm-people-api,29.6,649.0,630,630,238.0,500,238.0,500,795.0,101595.0,5,113,20,1.28409090909091,0.229885057471264,0.172413793103448,1,3,1.0,2,ioet,bpm-people-api,0.14,5.04,0.15,0.36,7.61,2.0,2.2
56,2019-02-06T00:43:30+0100,2019-03-05T20:57:43+0100,27,adilsonsilva/autenticacao,33.3,159.0,304,304,153.5,715,153.5,715,1338.0,58133.0,11,66,4,1.17857142857143,0.148148148148148,0.148148148148148,1,2,2.0,1,adilsonsilva,autenticacao,0.0,0.81,0.24,0.22,4.75,1.0,1.33
32,2018-11-18T10:20:30+0100,2019-02-24T17:27:07+0100,98,itsallcode/openfasttrace,83.3,8313.0,8970,8970,142.5,275,140.0,424,4588.0,1790217.0,25,133,18,4.15625,0.18367346938775506,0.14285714285714302,3,1,3.0,1,itsallcode,openfasttrace,0.060000000000000005,2.035,0.21,0.46,4.785,3.835,6.735
40,2018-12-12T11:52:04+0100,2019-02-17T14:17:04+0100,67,try0/wicket-toastr,86.5,2871.0,1831,1831,104.0,393,191.5,299,,,0,44,11,1.1,0.164179104477612,0.149253731343284,3,1,,1,try0,wicket-toastr,0.09,3.03,0.09,0.16,8.01,1.64,4.45
72,2019-02-01T13:13:44+0100,2019-02-10T18:36:27+0100,9,coffeenet/coffeenet-starter,65.0,2746.0,2688,2688,193.0,1580,192.5,1580,,,0,80,5,1.11111111111111,0.555555555555556,0.555555555555556,2,2,,3,coffeenet,coffeenet-starter,0.0,3.3,0.16,0.23,6.74,6.36,3.81
112,2018-10-23T19:27:08+0200,2018-11-29T19:49:20+0100,37,symonk/sylenium,67.75,641.0,1154,1154,125.5,232,123.5,232,1182.0,2636.0,29,114,8,1.01785714285714,0.216216216216216,0.216216216216216,2,1,2.0,1,symonk,sylenium,0.055,1.21,0.20500000000000002,0.4,3.9349999999999996,3.14,1.795
64,2017-12-06T19:18:52+0100,2017-12-15T11:25:21+0100,8,NoticeMeDan/cinema,5.15,795.5,995,995,59.0,237,59.0,237,1820.0,35992.0,31,222,8,3.46875,1.0,1.0,1,1,2.0,4,NoticeMeDan,cinema,0.05,0.605,0.275,0.59,3.3499999999999996,3.62,3.82
