ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
88,2019-05-14T13:47:12+0200,2019-07-28T20:38:32+0200,75,goldy1992/Mp3Player,1,0,337,1573,0.7,0,68.2,7829,8242,8242,0.000128106584678452,0,0.0431719190366385,346.5,950,344.5,950,47090.5,1255344,123,384,66,4.36363636363636,0.88,0,2,3,4,4
48,2019-01-30T08:17:49+0100,2019-07-24T15:59:19+0200,175,polygenesis-projects/polygenesis-platform,1,0,107,1255,0.25,1.3,27.05,18990,32361,32361,3.6765386910833e-05,0,0.00570384096946184,179.5,1106,179,1106,NA,NA,0,149,61,3.10416666666667,0.348571428571429,0,1,2,NA,2
112,2018-09-25T16:22:19+0200,2019-07-16T11:14:27+0200,293,hmcts/feature-toggle-api,0,0,2,10,0.1,0,90.6,593,593,593,0,0,0.00337268128161889,244,570,241,570,1467.5,2085,2,166,46,1.48214285714286,0.156996587030717,0,4,3,2,1
48,2019-05-23T03:41:41+0200,2019-07-24T06:16:03+0200,62,tsantos84/serializer,0,0,12,203,0.2,0,85.1,3175,3175,3175,0,0,0.00377952755905512,368,595,524,772,759,605084,7,54,15,1.125,0.241935483870968,0,3,3,1,2
224,2017-11-15T05:01:08+0100,2019-07-29T23:50:43+0200,621,KengoTODA/findbugs-slf4j,5,0,687.5,6362.5,7.75,0.45,16.6,2723,1599,1599,0.00256318567093802,0,0.250260807998597,428,1768,779.5,1921,803.5,495388,24,500,124,2.23214285714286,0.199677938808374,0,1,4,1,1
40,2019-06-16T16:38:03+0200,2019-06-19T02:05:07+0200,2,c2v4/greenery,0,0,15,149,0,2.3,81.8,17849,17779,17779,0,0,0.000843691996175263,462.5,644,457,644,4867,9730,6,42,3,1.05,1.5,0,3,4,3,4
64,2019-05-30T10:10:27+0200,2019-07-27T03:19:21+0200,57,imageworks/OpenColorIO,77,0,9274.5,49068,2,8.8,80.6,82146,84033,84033,0.000937355440313588,0,0.113022836607378,2837,7858,5053,5506,4235,80612,7,86,20,1.34375,0.350877192982456,0,3,4,3,2
72,2019-06-10T14:04:28+0200,2019-07-22T20:07:58+0200,42,Diplomatiq/crypto-random,0,0,0,0,0,0,100,291,291,291,0,0,0,91,252,164,342,0,0,1,75,16,1.04166666666667,0.380952380952381,0,4,1,1,2
632,2018-10-16T21:34:36+0200,2019-07-22T12:09:48+0200,278,hmcts/rpa-jui-webapp,0,0,6,20,0,1.9,79.6,7532,7532,7532,8.84016973125884e-05,0,0.00362446958981612,496,1213,471,1213,580.5,492908,959,5621,178,8.89398734177215,0.640287769784173,0,3,4,1,3
128,2019-03-19T14:51:44+0100,2019-07-29T10:05:09+0200,131,indigo-iam/iam,0,0,293,10799,1.2,2.6,84.7,29489,29489,29489,0,0,0.00993590830479162,679,1205,679,1205,72092,173160,41,223,128,1.7421875,0.977099236641221,0,3,4,4,4
104,2019-05-23T17:07:52+0200,2019-07-19T12:31:19+0200,56,chaturanga50/opsworks-cli,0,0,0,0,0,0,79.6,542,542,542,0,0,0,142.5,452,372,1053,404,166960,21,109,12,1.04807692307692,0.214285714285714,0,3,1,1,1
40,2019-03-23T22:32:26+0100,2019-06-15T19:08:59+0200,83,enriqzAlejandro/ludis-backend,0,0,2,20,0,0.4,37.9,3489,3510,3510,0,0,0.00057323015190599,75,267,75,267,NA,NA,0,53,14,1.325,0.168674698795181,0,1,1,NA,1
80,2018-11-15T02:51:21+0100,2019-06-15T11:45:01+0200,212,yourtion/node-erest,0,0,0,0,0,0,95.5,2073.5,2113,2113,0,0,0,297,1790,615,981,98958.5,1716455,14,106,61,1.325,0.287735849056604,0,4,3,4,2
144,2018-10-31T17:49:19+0100,2019-07-29T11:21:30+0200,270,hmcts/finrem-document-generator-client,0,0,6,55,0.45,0,99.1,316,523,523,0,0,0.0152963671128107,241,602,232,602,5627,399785,245,760,92,5.27777777777778,0.340740740740741,0,4,3,3,2
88,2018-09-29T22:54:17+0200,2019-07-05T15:53:46+0200,278,hmcts/ccd-case-print-service,1,0,0,0,0,0,20.5,514,514,514,0.00194552529182879,0,0,129,1825,202,828,162,583494,40,419,74,4.76136363636364,0.266187050359712,0,1,1,1,2
88,2018-12-02T19:00:12+0100,2019-06-14T19:09:15+0200,193,gruelbox/dropwizard-https-redirect,0,0,0,0,0,0,82.3,361,361,361,0,0,0,118,366,128,464,112,327494,8,105,20,1.19318181818182,0.103626943005181,0,3,1,1,1
192,2019-04-19T12:06:12+0200,2019-06-14T14:15:07+0200,56,unige-pinfo-2019/PInfo1,0,0,18,130,0.2,0,71.6,1723.5,2838,2838,0,0,0.00861436836827182,496,1328,494,1328,455,16834,40,629,41,3.27604166666667,0.732142857142857,0,2,4,1,3
72,2019-03-23T21:11:08+0100,2019-07-15T18:35:52+0200,113,phantauth/phantauth-service,0,0,20,596,0.3,0,69.1,5743,5936,5936,0,0,0.00336927223719677,195,369,195,369,13038.5,20675,14,103,16,1.43055555555556,0.141592920353982,0,2,2,4,1
112,2019-04-16T16:59:43+0200,2019-06-14T12:42:58+0200,58,unige-pinfo-2019/PInfo3,0,0,1.5,13.5,0.05,0,74.65,1902,1893,1893,0,0,0.000956373018367332,584,1945,1539.5,5029,2621,221028,133,386,44,3.44642857142857,0.758620689655172,0,2,4,3,4
120,2019-04-24T05:33:04+0200,2019-06-14T05:32:01+0200,50,max-cong/medis,0,0,0,0,0,1.2,52.65,3732.5,4372,4372,0,0,0,167,311,166,311,1885,260306,40,178,25,1.48333333333333,0.5,0,1,2,2,3
144,2018-12-29T18:34:59+0100,2019-06-12T20:30:13+0200,165,sonar-perl/sonar-perl,0,0,16,100,0.2,0,92.4,2016.5,2063,2063,0,0,0.00776322173702086,375,1057,369,1057,1316.5,5404308,47,167,19,1.15972222222222,0.115151515151515,0,4,3,2,1
24,2019-06-11T18:19:21+0200,2019-07-22T08:22:43+0200,40,samueldple/datetimekt,0,0,0,0,0,0,92.3,585,585,585,0,0,0,190,390,190,390,NA,NA,0,29,4,1.20833333333333,0.1,0,4,2,NA,1
96,2018-12-06T14:00:11+0100,2019-06-11T13:08:44+0200,186,nut-tree/nut.js,0,0,4,45.5,0.1,0,92.6,1591,1837,1837,0,0,0.00381056069678824,255,541,255,541,316,427006,19,135,26,1.40625,0.139784946236559,0,4,3,1,1
160,2018-08-14T22:31:44+0200,2019-07-25T17:29:56+0200,344,TransbankDevelopers/transbank-sdk-java,1,0,40,359,0.2,3.1,22.7,5349,5349,5349,0.000830220151362678,0,0.00765692708638524,143,605,142,605,3786,517817,16,359,53,2.24375,0.15406976744186,0,1,1,3,1
40,2019-05-18T19:35:02+0200,2019-06-08T21:51:53+0200,21,Raffaello/board-m-n-k,0,0,43,64,0.1,0,66.1,1972,1972,1972,0,0,0.0164348925410872,328.5,554,323,554,89880,197792,20,59,13,1.475,0.619047619047619,0.0952380952380952,2,3,4,3
96,2019-02-28T11:55:03+0100,2019-06-05T19:40:08+0200,97,bazo-blockchain/lazo,0,0,6.5,24,0,0,88.35,4816,4928,4928,0,0,0.00159025402365226,110,681,110,681,5066.5,198944,68,604,71,6.29166666666667,0.731958762886598,0.731958762886598,3,1,3,3
48,2019-04-18T20:35:44+0200,2019-06-05T12:14:07+0200,47,bazo-blockchain/bazo-vm,0,0,9.5,612,1.1,6.9,71.6,1915.5,1968,1968,0,0,0.00496197770448908,92,178,92,178,675,675,1,74,19,1.54166666666667,0.404255319148936,0.382978723404255,2,1,1,2
112,2018-11-19T13:53:21+0100,2019-06-04T20:23:28+0200,197,rmaqueda/OpenWeather,0,0,2,10,0,0,61.8,717,717,717,0,0,0.0027027027027027,217,436,212,436,755,1187303,37,169,11,1.50892857142857,0.0558375634517767,0.0406091370558376,2,2,1,1
40,2017-10-10T16:49:20+0200,2019-06-04T15:21:41+0200,601,atlanmod/neoemf,6,1,116,5039,1,1.1,56.7,16450,16450,16450,0.000364741641337386,6.0790273556231e-05,0.0070516717325228,1924,5521,1924,5521,7694,20820441,11,142,55,3.55,0.0915141430948419,0.176372712146423,2,4,3,1
120,2019-02-28T10:58:17+0100,2019-06-04T10:33:58+0200,95,Jakeeyturner/blockchain-vscode-extension,6,0,21,79,0,3.1,0,7760,7760,7760,0.00077319587628866,0,0.00270618556701031,984.5,2671,2372,3472,5373,1575720,69,189,41,1.575,0.431578947368421,0.568421052631579,1,4,3,2
32,2018-10-24T19:22:06+0200,2019-06-03T23:19:54+0200,222,TransbankDevelopers/transbank-sdk-python,0,0,2,40,0.4,0,98.4,335,355,355,0,0,0.00597100054362841,203,3024,261,440,336583,336583,2,34,8,1.0625,0.036036036036036,0.0315315315315315,4,2,4,1
64,2019-03-16T14:09:23+0100,2019-07-29T15:24:38+0200,135,korthout/cantis,0,0,0,0,0,0,82.8,987,987,987,0,0,0,142,437,139,437,509.5,14305,9,236,16,3.6875,0.118518518518519,0.0740740740740741,3,1,1,1
64,2019-06-03T17:04:15+0200,2019-07-25T02:33:02+0200,51,UAVCAN/pyuavcan,0,0,3,27.5,0,0,86.3,6104.5,6441,6441,0,0,0.000451847996827866,1861,2452,1858,2452,4310,172271,29,135,29,2.109375,0.568627450980392,0,3,4,3,3
40,2019-05-15T05:01:09+0200,2019-06-02T02:11:05+0200,17,030/n3dr,0,0,10,68,0.3,0,67.3,792,792,792,0,0,0.0126262626262626,453,3047,633,6400,2197,134719,50,114,10,2.85,0.588235294117647,0.470588235294118,2,4,3,3
80,2018-11-25T13:13:30+0100,2019-07-10T18:53:25+0200,227,albertoirurueta/irurueta-navigation,5,0,180.5,5501.5,0.3,20.6,95,53497,53630,53630,9.34633271073751e-05,0,0.00336783434149485,934,1796,934,1796,5883,326864,69,167,49,2.0875,0.215859030837004,0.20704845814978,4,4,3,1
40,2019-04-17T13:52:31+0200,2019-06-01T19:19:53+0200,45,jsulpis/java-study,0,0,0,0,0,0,98,685,717,717,0,0,0,156,216,156,216,85561,344040,10,53,12,1.325,0.266666666666667,0.266666666666667,4,2,4,2
72,2019-03-29T19:04:30+0100,2019-06-01T01:01:50+0200,63,svstoll/cscc-recommender,0,0,0,0,0,0,13.8,1705,2080,2080,0,0,0,126,338,126,338,950,1085,4,120,17,1.66666666666667,0.26984126984127,0.174603174603175,1,1,1,2
72,2019-05-04T05:26:56+0200,2019-05-31T17:53:53+0200,27,addisonmartin/share-the-food,0,0,34,1020,6.2,0,2.2,548,548,548,0,0,0.062043795620438,366,643,365,643,2975,126395,55,224,13,3.11111111111111,0.481481481481481,0.555555555555556,1,3,3,3
56,2018-12-21T13:01:43+0100,2019-05-24T15:28:16+0200,154,discipl/core,0,0,0,0,0,0,95.7,240,240,240,0,0,0,112,637,111.5,637,1039,575428,15,140,34,2.5,0.220779220779221,0.214285714285714,4,1,1,2
240,2019-01-18T08:57:10+0100,2019-05-24T02:36:00+0200,125,famaridon/redmine-ng-api,3,0,41,390,0.2,0,37.5,6663,6825,6825,0.000488997555012225,0,0.00600732600732601,369,959,368.5,959,3435.5,412050,30,256,117,1.06666666666667,0.936,0.328,1,3,3,4
144,2018-01-24T03:57:30+0100,2019-07-12T19:55:22+0200,534,Unidata/rosetta,43.5,28,443.5,3280,1.3,2.85,22.2,8984,8000,8000,0.005479014749258,0.00307824774532522,0.051796697960505,231,765,231,765,14961,2334293,43,153,56,1.0625,0.104868913857678,0.198501872659176,1,2,4,1
192,2017-09-15T11:58:37+0200,2019-05-23T14:21:14+0200,615,CJSCommonPlatform/framework-tools,0,0,5,60,0.2,0,69.4,1205,1286,1286,0,0,0.0048203683357116,299,2998,299,2998,978,257188,29,396,60,2.0625,0.0975609756097561,0.0487804878048781,2,3,1,1
96,2019-01-18T04:03:56+0100,2019-07-03T15:13:08+0200,166,maurobonfietti/rest-api-slim-php,0,0,5,59.5,0.2,0,97.1,1103,1184,1184,0,0,0.00465226734770151,80,311,143,649,972,357152,31,304,48,3.16666666666667,0.289156626506024,0.295180722891566,4,1,1,2
32,2019-05-12T10:23:43+0200,2019-05-19T08:30:49+0200,6,jinahya/jinahya-springframework,0,0,15,165,0.85,0,86.3,660,624,624,0,0,0.0226928895612708,110,143,110,143,NA,NA,0,36,4,1.125,0.666666666666667,0.666666666666667,3,1,NA,3
32,2019-04-29T20:08:53+0200,2019-07-14T15:55:31+0200,75,ddaninthe/botgether,0,0,5,87.5,0.3,0.85,76.75,1089,1664,1664,0,0,0.00608842167773005,208.5,325,208.5,325,999,50099,6,52,19,1.625,0.253333333333333,0.24,2,2,1,2
32,2019-05-10T17:02:17+0200,2019-05-17T13:44:04+0200,6,LorenzoBettini/demo-spring-testing,0,0,0,0,0,0,100,350.5,553,553,0,0,0,100.5,302,100.5,302,731,731,1,66,7,2.0625,1.16666666666667,1,4,1,1,4
160,2019-01-16T15:46:04+0100,2019-07-24T16:36:36+0200,188,hmcts/rpa-em-stitching-api,0,0,6,566,1.1,0,88.85,1702,1837,1837,0,0,0.00333667495425751,285,659,281,659,1968,259322,67,381,53,2.38125,0.281914893617021,0.292553191489362,3,3,2,2
128,2018-04-25T12:05:45+0200,2019-07-26T14:05:29+0200,457,camel-tooling/camel-lsp-client-eclipse,0,0,0,0,0,0,67,406,436,436,0,0,0,221.5,1025,220,1025,217824,2054858,10,135,49,1.0546875,0.107221006564551,0.0306345733041575,2,2,4,1
40,2019-04-08T22:17:28+0200,2019-05-13T15:36:05+0200,34,nabu-3/lexer,0,0,0,0,0,0,100,1469,1469,1469,0,0,0,115,316,211,473,29097,84639,14,153,23,3.825,0.676470588235294,0.558823529411765,4,1,4,3
32,2018-12-22T16:02:25+0100,2019-05-11T13:02:46+0200,139,svishnevsky/OpenPDF,0,0,1.5,3,0,0,89.5,1208,1724,1724,0,0,0.00174013921113689,146.5,209,146.5,209,3445.5,57960,13,36,2,1.125,0.0143884892086331,0.0215827338129496,3,2,3,1
32,2019-02-15T17:09:59+0100,2019-07-19T19:19:38+0200,154,gdnsd/gdnsd,0,0,15,210,0,0.1,71,20374,20394,20394,0,0,0.000736232907175391,276,613,795,1795,3817,471439,5,50,22,1.5625,0.142857142857143,0.149350649350649,2,3,3,1
24,2019-03-19T00:27:26+0100,2019-05-03T00:21:21+0200,44,sawyern/cookiebot,0,0,6,60,0.1,0,8.2,1556,1499,1499,0,0,0.0038560411311054,127,226,117,226,11383,49758,32,61,6,2.54166666666667,0.136363636363636,0.181818181818182,1,1,4,1
1032,2017-08-10T16:37:52+0200,2019-07-22T15:42:45+0200,710,dotwebstack/dotwebstack-framework,0,0,3,45,0,0.1,81.5,10286,12046,12046,0,0,0.000288794763188294,233,2762,280,2762,1160.5,675595,228,3252,351,3.15116279069767,0.494366197183099,0.192957746478873,3,3,2,3
24,2019-04-23T15:40:11+0200,2019-04-26T13:15:24+0200,2,galasam/GalaBank,0,0,0,0,0,0,60.6,2509,2566,2566,0,0,0,339,716,339,716,NA,NA,0,35,3,1.45833333333333,1.5,1.5,2,3,NA,4
32,2019-01-01T10:38:10+0100,2019-04-20T06:49:21+0200,108,jinahya/bit-io,0,0,19.5,144,0.4,0,72.5,1185,1355,1355,0,0,0.0169782658003028,126.5,252,126,252,8289,16359,2,95,20,2.96875,0.185185185185185,0.185185185185185,2,1,4,1
80,2018-10-31T15:15:41+0100,2019-04-16T11:58:06+0200,166,CJSCommonPlatform/framework-domain,1,0,1,20,0.3,0,87.1,236,236,236,0.00423728813559322,0,0.00423728813559322,138,312,137.5,312,5637.5,1193344,4,88,15,1.1,0.0903614457831325,0.0662650602409639,3,1,3,1
96,2018-11-13T03:55:59+0100,2019-04-10T10:26:54+0200,148,han-feng/cvicse-boot,0.5,1,15.5,64,0.05,1.7,0.25,5269,5269,5269,0.000100401606425703,0.000183752814775137,0.00299995964242911,350.5,697,475.5,699,343387.5,684322,3,118,60,1.22916666666667,0.405405405405405,0.398648648648649,1,3,4,2
152,2019-01-12T01:08:02+0100,2019-07-11T21:11:44+0200,180,holgern/beem,1,0,392,4147,0.8,1.6,0,17113,17118,17118,5.84351078127739e-05,0,0.0228998714803131,1982.5,5462,4455,10640,318420,762127,66,186,42,1.22368421052632,0.233333333333333,0.144444444444444,1,4,4,2
48,2018-12-12T09:09:38+0100,2019-04-06T14:36:23+0200,115,Sylvie/sambada,21.5,0,949,9551,4.5,14.05,53.8,7115,7410,7410,0.00294622530078016,0,0.134127547735228,1494,3332,2420,4286,13753,253086,14,132,48,2.75,0.417391304347826,0.460869565217391,2,4,4,2
48,2019-01-28T11:56:46+0100,2019-03-26T10:37:06+0100,56,hmcts/ccd-definition-designer-api,0,0,1.5,17.5,0.05,0,92.6,1269,1269,1269,0,0,0.00118203309692671,370,735,367,735,728,428562,25,115,18,2.39583333333333,0.321428571428571,0.214285714285714,4,3,1,2
80,2019-01-22T09:28:37+0100,2019-03-24T22:02:53+0100,61,DaJaime/optidb-server,0,6,23,311,1.5,5.9,12.85,589,781,781,0,0.00768245838668374,0.0344779739667585,137,296,136,296,365,405,2,121,31,1.5125,0.508196721311475,0.475409836065574,1,1,1,3
72,2019-01-28T01:24:24+0100,2019-03-24T22:00:40+0100,55,ChaudhryHaseeb/optidb-client,0,0,6,54,0.4,0,8.5,578,584,584,0,0,0.011986301369863,134,380,134,380,107384,430468,16,109,26,1.51388888888889,0.472727272727273,0.490909090909091,1,1,4,3
48,2019-03-05T17:32:55+0100,2019-03-12T18:15:34+0100,7,GOBDS/mapfood,2,2.5,12.5,95,0.25,2.15,64.65,1275.5,1762,1762,0.0013788676753427,0.0018981364968172,0.00990275018299697,140,229,140,229,43350.5,63493,29,74,6,1.54166666666667,0.857142857142857,0.857142857142857,2,1,4,4
88,2018-12-13T22:29:58+0100,2019-03-11T20:48:04+0100,87,ioet/bpm-people-api,1,1,2,20,0.1,0,29.6,649,630,630,0.00154083204930663,0.00134589502018843,0.00280112044817927,238,500,238,500,795,101595,5,113,20,1.28409090909091,0.229885057471264,0.172413793103448,1,3,1,2
56,2019-02-06T00:43:30+0100,2019-03-05T20:57:43+0100,27,adilsonsilva/autenticacao,0,0,4,12,0.6,0,33.3,159,304,304,0,0,0.0361842105263158,153.5,715,153.5,715,1338,58133,11,66,4,1.17857142857143,0.148148148148148,0.148148148148148,1,2,2,1
32,2018-11-11T19:47:54+0100,2019-02-26T22:36:32+0100,107,sproogen/itsgoingto.be,0,0,14,194,0.1,0.7,66.6,9067,9777,9777,0,0,0.00148399188300333,403.5,776,403.5,776,2179,4752746,9,68,21,2.125,0.196261682242991,0.224299065420561,2,3,3,1
32,2018-11-18T10:20:30+0100,2019-02-24T17:27:07+0100,98,itsallcode/openfasttrace,0,0.5,1,7.5,0,0,83.3,8313,8970,8970,0,5.57413600891862e-05,0.000111482720178372,142.5,275,140,424,4588,1790217,25,133,18,4.15625,0.183673469387755,0.142857142857143,3,1,3,1
40,2018-12-12T11:52:04+0100,2019-02-17T14:17:04+0100,67,try0/wicket-toastr,5,0,58,3906,4.4,0,86.5,2871,1831,1831,0.00170590242238144,0,0.0197682344921609,104,393,191.5,299,NA,NA,0,44,11,1.1,0.164179104477612,0.149253731343284,3,1,NA,1
72,2019-02-01T13:13:44+0100,2019-02-10T18:36:27+0100,9,coffeenet/coffeenet-starter,3,0,16,249,0.3,0,65,2746,2688,2688,0.0010924981791697,0,0.00579920260964117,193,1580,192.5,1580,NA,NA,0,80,5,1.11111111111111,0.555555555555556,0.555555555555556,2,2,NA,3
88,2018-12-28T15:32:53+0100,2019-01-19T22:47:31+0100,22,nefarioustim/cerberus-auth,0,0,0,0,0,0,100,556,631,631,0,0,0,235,312,235,312,409.5,597,7,96,14,1.09090909090909,0.636363636363636,0.636363636363636,4,3,1,3
40,2018-12-29T23:53:13+0100,2019-01-17T01:38:28+0100,18,rfaguiar/livraria-frontend-reactjs,0,0,1,20,0.1,0,97.6,581,959,959,0,0,0.00172117039586919,111,210,111,210,337764,337764,11,45,10,1.125,0.555555555555556,0.611111111111111,4,1,4,3
112,2018-10-23T19:27:08+0200,2018-11-29T19:49:20+0100,37,symonk/sylenium,0,1,10,42.5,0.2,0,67.75,641,1154,1154,0,0.00185185185185185,0.0152187348254094,125.5,232,123.5,232,1182,2636,29,114,8,1.01785714285714,0.216216216216216,0.216216216216216,2,1,2,1
96,2018-02-05T19:43:32+0100,2018-04-22T16:03:06+0200,75,thailekha/dynamic-dockerizer-agent,1,0,1,20,0.1,0,74.75,1311,1312,1312,0.00108660687101331,0,0.00076248581421741,236,876,335.5,2895,1805.5,820513,64,188,21,1.95833333333333,0.28,0.266666666666667,2,3,2,2
64,2017-12-06T19:18:52+0100,2017-12-15T11:25:21+0100,8,NoticeMeDan/cinema,0,0,34,92,0.45,0,5.15,795.5,995,995,0,0,0.0375323587635145,59,237,59,237,1820,35992,31,222,8,3.46875,1,1,1,1,2,4
