ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
160,2019-06-01T07:33:08+0200,2019-07-06T07:11:14+0200,34,jinahya/jsonrpc-bind,0,0,24.5,220,0.95,0,82.4,665.5,905,905,0,0,0.0358923587088771,123,681,230.5,693,64.5,104,2,190,30,1.1875,0.882352941176471,0,3,1,1,4
136,2019-04-28T16:49:06+0200,2019-07-02T00:07:38+0200,64,notification-system/nosy-admin,0,0,0,0,0,0,89,1991,2278,2278,0,0,0,136,365,133.5,365,1699.5,479288,77,260,38,1.91176470588235,0.59375,0,3,1,2,3
120,2019-01-04T19:08:05+0100,2019-07-30T00:03:20+0200,206,kiwikern/shassi-nest,0,0,0,0,0,0.6,97.1,2213,2542,2542,0,0,0,401,9012,524,1393,1022,152271,39,307,87,2.55833333333333,0.422330097087379,0,4,3,1,2
64,2019-04-20T21:05:11+0200,2019-07-01T22:54:34+0200,72,Siouan/frontend-gradle-plugin,0,0,0,0,0,0,95.75,1344,1640,1640,0,0,0,205,607,210,913,2265.5,1218246,113,267,24,4.171875,0.333333333333333,0,4,2,3,2
240,2018-09-28T18:32:29+0200,2019-07-26T15:57:37+0200,300,hmcts/ccd-admin-web,1,0,2,8,0,0,90.1,1371,1769,1769,0.000406008932196508,0,0.00143949972988676,155,696,238,1007,1400,253052,82,958,134,3.99166666666667,0.446666666666667,0,4,2,2,3
488,2018-09-21T17:52:24+0200,2019-07-29T13:09:58+0200,310,hmcts/cmc-citizen-frontend,3,0,7,32,0,1.3,90.1,20093,26657,26657,0.00015462323471807,0,0.000353571067784625,811,3000,796,3000,527,223819,843,4967,75,10.1782786885246,0.241935483870968,0,4,4,1,2
96,2019-03-29T09:05:30+0100,2019-07-15T17:42:44+0200,108,T-Systems-MMS/skoop-webapp,5,0,26,204,0.1,3.15,72.2,9404,10074,10074,0.000531690813537264,0,0.00276479223039377,280,614,279,614,1726.5,23345,13,335,63,3.48958333333333,0.583333333333333,0,2,3,2,3
64,2019-06-19T21:14:19+0200,2019-07-12T02:15:04+0200,22,newtonjose/cs-2019-01,0,0,6,40,0.1,0,100,1127,1127,1127,0,0,0.00532386867790594,86.5,220,85.5,304,2262,8030,11,74,16,1.15625,0.727272727272727,0,4,1,3,3
80,2019-03-28T12:33:34+0100,2019-07-25T09:33:22+0200,118,T-Systems-MMS/skoop-server,1,0,60,2889,0.9,0.8,83.65,10854.5,10971,10971,9.21342359956173e-05,0,0.00546896363139185,407,730,407,730,19314,19314,4,273,52,3.4125,0.440677966101695,0,3,3,4,2
88,2019-06-06T16:21:55+0200,2019-07-30T09:26:06+0200,53,ystia/yorc,0,0,558,6862,0.7,1.9,45.2,34223,34232,34232,0,0,0.0165426462304705,1202.5,1874,1191,1874,1048,56166,16,348,28,3.95454545454545,0.528301886792453,0,1,4,1,3
